store_sales(in millions),unit_sales(in millions),total_children,num_children_at_home,avg_cars_at home(approx).1,gross_weight,recyclable_package,low_fat,units_per_case,store_sqft,coffee_bar,video_store,salad_bar,prepared_food,florist,cost
9.52,4.0,0.0,0.0,3.0,14.7,0.0,0.0,4.0,23112.0,1.0,1.0,1.0,1.0,1.0,97.13
19.25,5.0,3.0,1.0,3.0,20.4,1.0,0.0,16.0,34452.0,1.0,0.0,0.0,0.0,1.0,114.72
6.81,3.0,5.0,0.0,2.0,21.2,0.0,0.0,25.0,20319.0,0.0,0.0,0.0,0.0,0.0,53.13
1.92,3.0,3.0,0.0,1.0,10.4,0.0,1.0,28.0,23598.0,0.0,0.0,0.0,0.0,1.0,55.96
5.18,2.0,4.0,0.0,4.0,18.6,0.0,0.0,15.0,23688.0,1.0,1.0,1.0,1.0,1.0,101.84
6.76,2.0,1.0,1.0,1.0,17.5,1.0,0.0,5.0,21215.0,1.0,0.0,0.0,0.0,0.0,69.63
2.67,3.0,4.0,0.0,2.0,14.5,0.0,1.0,19.0,30268.0,0.0,0.0,0.0,0.0,0.0,59.4
9.64,4.0,2.0,0.0,1.0,9.79,1.0,1.0,19.0,34791.0,0.0,0.0,1.0,1.0,0.0,77.72
5.22,3.0,5.0,5.0,4.0,12.8,1.0,0.0,35.0,23598.0,0.0,0.0,0.0,0.0,1.0,81.79
9.72,4.0,3.0,0.0,1.0,8.46,0.0,0.0,30.0,23598.0,0.0,0.0,0.0,0.0,1.0,53.37
7.38,3.0,2.0,1.0,2.0,18.6,1.0,0.0,1.0,23112.0,1.0,1.0,1.0,1.0,1.0,51.0
2.91,3.0,2.0,0.0,4.0,13.2,0.0,0.0,25.0,23688.0,1.0,1.0,1.0,1.0,1.0,67.11
5.55,3.0,1.0,0.0,2.0,7.12,1.0,0.0,34.0,27694.0,1.0,1.0,1.0,1.0,1.0,111.51
3.48,2.0,1.0,0.0,3.0,10.6,1.0,0.0,5.0,27694.0,1.0,1.0,1.0,1.0,1.0,84.16
12.44,4.0,5.0,4.0,4.0,8.44,0.0,0.0,7.0,23593.0,0.0,0.0,0.0,0.0,0.0,52.97
10.8,4.0,3.0,0.0,0.0,16.2,1.0,0.0,33.0,23598.0,0.0,0.0,0.0,0.0,1.0,101.84
8.73,3.0,3.0,3.0,3.0,21.9,1.0,0.0,23.0,20319.0,0.0,0.0,0.0,0.0,0.0,67.2
3.24,2.0,3.0,3.0,1.0,17.1,1.0,1.0,9.0,23688.0,1.0,1.0,1.0,1.0,1.0,68.97
4.34,2.0,3.0,0.0,0.0,10.8,0.0,0.0,29.0,27694.0,1.0,1.0,1.0,1.0,1.0,55.59
2.36,4.0,3.0,0.0,1.0,21.0,0.0,0.0,9.0,20319.0,0.0,0.0,0.0,0.0,0.0,118.36
8.1,3.0,5.0,5.0,2.0,16.2,1.0,0.0,33.0,30797.0,1.0,1.0,1.0,1.0,1.0,56.49
3.75,3.0,2.0,0.0,2.0,8.02,0.0,0.0,20.0,39696.0,0.0,0.0,1.0,1.0,0.0,145.52
10.86,3.0,4.0,0.0,2.0,19.3,0.0,0.0,32.0,20319.0,0.0,0.0,0.0,0.0,0.0,139.19
2.84,4.0,4.0,0.0,2.0,17.0,1.0,1.0,20.0,23112.0,1.0,1.0,1.0,1.0,1.0,142.71
13.52,4.0,3.0,1.0,2.0,12.6,0.0,1.0,26.0,21215.0,1.0,0.0,0.0,0.0,0.0,138.53
1.42,1.0,3.0,0.0,3.0,8.25,1.0,0.0,35.0,28206.0,1.0,0.0,0.0,0.0,0.0,108.02
1.56,2.0,2.0,1.0,1.0,9.0,1.0,0.0,26.0,23112.0,1.0,1.0,1.0,1.0,1.0,75.22
0.72,1.0,1.0,0.0,1.0,20.9,1.0,0.0,11.0,22478.0,1.0,0.0,0.0,0.0,0.0,69.42
5.91,3.0,1.0,1.0,3.0,20.0,1.0,0.0,9.0,23112.0,1.0,1.0,1.0,1.0,1.0,51.0
6.99,3.0,4.0,0.0,2.0,19.7,0.0,1.0,18.0,27694.0,1.0,1.0,1.0,1.0,1.0,59.86
3.66,3.0,2.0,0.0,0.0,12.6,0.0,1.0,23.0,23598.0,0.0,0.0,0.0,0.0,1.0,55.96
3.46,1.0,5.0,5.0,1.0,11.0,0.0,1.0,24.0,22478.0,1.0,0.0,0.0,0.0,0.0,128.67
7.76,2.0,0.0,0.0,1.0,18.0,1.0,0.0,11.0,30268.0,0.0,0.0,0.0,0.0,0.0,100.91
10.56,4.0,4.0,0.0,3.0,7.43,1.0,0.0,23.0,20319.0,0.0,0.0,0.0,0.0,0.0,117.4
11.4,4.0,2.0,1.0,2.0,12.0,0.0,0.0,26.0,23112.0,1.0,1.0,1.0,1.0,1.0,144.54
4.64,4.0,4.0,1.0,3.0,17.1,1.0,0.0,18.0,27694.0,1.0,1.0,1.0,1.0,1.0,54.11
6.33,3.0,2.0,1.0,1.0,10.9,0.0,1.0,15.0,30584.0,1.0,1.0,1.0,1.0,1.0,115.25
5.04,3.0,1.0,0.0,1.0,17.2,1.0,1.0,8.0,21215.0,1.0,0.0,0.0,0.0,0.0,69.63
2.58,2.0,4.0,0.0,3.0,19.4,0.0,1.0,32.0,27694.0,1.0,1.0,1.0,1.0,1.0,95.78
5.2,4.0,1.0,0.0,4.0,14.5,1.0,0.0,32.0,20319.0,0.0,0.0,0.0,0.0,0.0,119.3
15.28,4.0,3.0,0.0,1.0,18.5,1.0,0.0,29.0,20319.0,0.0,0.0,0.0,0.0,0.0,53.13
6.63,3.0,1.0,0.0,3.0,18.5,0.0,0.0,20.0,30584.0,1.0,1.0,1.0,1.0,1.0,62.74
2.46,3.0,1.0,0.0,1.0,9.47,1.0,0.0,10.0,27694.0,1.0,1.0,1.0,1.0,1.0,111.51
6.57,3.0,0.0,0.0,3.0,6.78,0.0,0.0,33.0,39696.0,0.0,0.0,1.0,1.0,0.0,82.61
15.56,4.0,2.0,2.0,3.0,7.74,0.0,0.0,6.0,34791.0,0.0,0.0,1.0,1.0,0.0,144.31
4.05,3.0,2.0,0.0,2.0,21.5,1.0,0.0,34.0,21215.0,1.0,0.0,0.0,0.0,0.0,66.78
5.04,3.0,5.0,1.0,3.0,6.06,0.0,1.0,30.0,30268.0,0.0,0.0,0.0,0.0,0.0,64.99
8.16,3.0,0.0,0.0,3.0,21.3,1.0,0.0,18.0,23759.0,1.0,0.0,1.0,1.0,1.0,139.44
2.28,2.0,3.0,2.0,2.0,14.8,1.0,1.0,18.0,23759.0,1.0,0.0,1.0,1.0,1.0,75.76
8.85,3.0,2.0,2.0,3.0,17.9,1.0,0.0,10.0,30797.0,1.0,1.0,1.0,1.0,1.0,98.81
5.96,2.0,1.0,1.0,2.0,10.8,1.0,1.0,25.0,23759.0,1.0,0.0,1.0,1.0,1.0,75.76
8.49,3.0,0.0,0.0,2.0,20.0,1.0,1.0,31.0,20319.0,0.0,0.0,0.0,0.0,0.0,117.4
9.36,4.0,2.0,1.0,3.0,19.0,0.0,0.0,20.0,23598.0,0.0,0.0,0.0,0.0,1.0,101.84
6.3,2.0,3.0,0.0,3.0,9.38,1.0,0.0,35.0,30797.0,1.0,1.0,1.0,1.0,1.0,116.4
17.15,5.0,5.0,3.0,4.0,13.2,0.0,0.0,5.0,33858.0,1.0,0.0,1.0,1.0,1.0,69.65
4.05,3.0,3.0,0.0,2.0,16.1,0.0,0.0,30.0,33858.0,1.0,0.0,1.0,1.0,1.0,149.08
9.24,4.0,5.0,0.0,2.0,6.88,1.0,0.0,29.0,27694.0,1.0,1.0,1.0,1.0,1.0,59.86
1.78,2.0,0.0,0.0,3.0,19.9,0.0,0.0,3.0,39696.0,0.0,0.0,1.0,1.0,0.0,86.21
13.8,4.0,3.0,0.0,2.0,13.7,1.0,0.0,26.0,30797.0,1.0,1.0,1.0,1.0,1.0,92.57
4.2,2.0,4.0,3.0,1.0,11.5,0.0,0.0,13.0,33858.0,1.0,0.0,1.0,1.0,1.0,91.0
10.56,4.0,0.0,0.0,2.0,7.43,1.0,0.0,23.0,30584.0,1.0,1.0,1.0,1.0,1.0,94.79
2.4,3.0,1.0,0.0,2.0,15.5,1.0,1.0,7.0,20319.0,0.0,0.0,0.0,0.0,0.0,53.13
4.77,3.0,1.0,0.0,4.0,11.4,0.0,0.0,28.0,34791.0,0.0,0.0,1.0,1.0,0.0,77.01
0.79,1.0,3.0,0.0,3.0,6.89,1.0,1.0,24.0,28206.0,1.0,0.0,0.0,0.0,0.0,108.02
9.63,3.0,2.0,0.0,0.0,15.8,1.0,1.0,1.0,33858.0,1.0,0.0,1.0,1.0,1.0,69.65
6.96,4.0,1.0,0.0,3.0,15.4,0.0,0.0,34.0,23598.0,0.0,0.0,0.0,0.0,1.0,128.2
5.61,3.0,4.0,1.0,4.0,12.0,1.0,0.0,26.0,33858.0,1.0,0.0,1.0,1.0,1.0,103.65
4.17,3.0,4.0,0.0,2.0,21.7,1.0,0.0,11.0,20319.0,0.0,0.0,0.0,0.0,0.0,118.36
2.8,4.0,3.0,3.0,1.0,13.9,0.0,0.0,30.0,34791.0,0.0,0.0,1.0,1.0,0.0,95.98
11.64,4.0,4.0,1.0,1.0,21.8,1.0,0.0,10.0,33858.0,1.0,0.0,1.0,1.0,1.0,109.06
4.38,3.0,4.0,0.0,1.0,18.3,1.0,1.0,24.0,21215.0,1.0,0.0,0.0,0.0,0.0,145.41
3.64,2.0,1.0,0.0,1.0,21.1,1.0,0.0,20.0,33858.0,1.0,0.0,1.0,1.0,1.0,138.81
5.14,2.0,2.0,1.0,2.0,15.2,1.0,0.0,6.0,23112.0,1.0,1.0,1.0,1.0,1.0,97.13
10.4,4.0,1.0,1.0,4.0,8.1,1.0,0.0,32.0,20319.0,0.0,0.0,0.0,0.0,0.0,72.61
3.45,3.0,2.0,2.0,1.0,11.1,1.0,0.0,15.0,27694.0,1.0,1.0,1.0,1.0,1.0,80.29
6.99,3.0,5.0,2.0,3.0,10.3,1.0,1.0,23.0,30268.0,0.0,0.0,0.0,0.0,0.0,59.4
7.35,3.0,2.0,0.0,4.0,18.2,0.0,1.0,16.0,33858.0,1.0,0.0,1.0,1.0,1.0,69.65
7.95,3.0,5.0,0.0,2.0,9.92,0.0,0.0,29.0,23593.0,0.0,0.0,0.0,0.0,0.0,55.22
11.28,3.0,3.0,0.0,4.0,10.3,0.0,1.0,21.0,39696.0,0.0,0.0,1.0,1.0,0.0,106.1
6.8,5.0,4.0,4.0,3.0,7.12,0.0,1.0,29.0,20319.0,0.0,0.0,0.0,0.0,0.0,140.57
15.92,4.0,1.0,1.0,1.0,18.5,1.0,1.0,11.0,21215.0,1.0,0.0,0.0,0.0,0.0,66.78
4.98,3.0,4.0,2.0,0.0,15.4,0.0,0.0,2.0,30797.0,1.0,1.0,1.0,1.0,1.0,65.7
15.52,4.0,2.0,2.0,2.0,10.6,0.0,1.0,28.0,27694.0,1.0,1.0,1.0,1.0,1.0,84.16
14.44,4.0,1.0,0.0,1.0,10.7,1.0,1.0,6.0,23593.0,0.0,0.0,0.0,0.0,0.0,52.97
9.88,4.0,4.0,1.0,3.0,13.4,1.0,1.0,23.0,27694.0,1.0,1.0,1.0,1.0,1.0,59.86
7.89,3.0,5.0,0.0,2.0,12.6,0.0,0.0,29.0,30584.0,1.0,1.0,1.0,1.0,1.0,94.79
11.4,3.0,4.0,0.0,2.0,9.9,1.0,0.0,32.0,30797.0,1.0,1.0,1.0,1.0,1.0,90.77
2.43,3.0,2.0,0.0,2.0,17.3,1.0,0.0,16.0,39696.0,0.0,0.0,1.0,1.0,0.0,106.2
3.66,3.0,3.0,3.0,3.0,21.4,1.0,1.0,6.0,30584.0,1.0,1.0,1.0,1.0,1.0,91.58
6.36,4.0,3.0,3.0,3.0,20.0,0.0,0.0,28.0,39696.0,0.0,0.0,1.0,1.0,0.0,86.21
4.38,2.0,3.0,2.0,4.0,14.5,0.0,1.0,23.0,30797.0,1.0,1.0,1.0,1.0,1.0,65.7
2.43,3.0,3.0,2.0,2.0,6.63,1.0,0.0,21.0,27694.0,1.0,1.0,1.0,1.0,1.0,131.75
8.76,4.0,0.0,0.0,3.0,21.8,1.0,0.0,27.0,33858.0,1.0,0.0,1.0,1.0,1.0,122.47
5.13,3.0,0.0,0.0,2.0,10.1,0.0,0.0,14.0,39696.0,0.0,0.0,1.0,1.0,0.0,51.27
3.08,4.0,4.0,1.0,1.0,15.7,1.0,1.0,9.0,21215.0,1.0,0.0,0.0,0.0,0.0,131.46
10.96,4.0,4.0,1.0,3.0,21.9,1.0,0.0,9.0,23759.0,1.0,0.0,1.0,1.0,1.0,106.73
4.65,3.0,0.0,0.0,3.0,6.88,1.0,1.0,24.0,33858.0,1.0,0.0,1.0,1.0,1.0,138.81
1.54,2.0,1.0,0.0,1.0,13.4,1.0,1.0,26.0,27694.0,1.0,1.0,1.0,1.0,1.0,59.86
7.14,2.0,4.0,2.0,1.0,8.5,0.0,0.0,10.0,24597.0,1.0,0.0,0.0,0.0,0.0,115.18
8.88,3.0,2.0,2.0,3.0,13.9,1.0,0.0,28.0,23598.0,0.0,0.0,0.0,0.0,1.0,53.37
4.94,2.0,4.0,0.0,1.0,8.87,1.0,0.0,5.0,22478.0,1.0,0.0,0.0,0.0,0.0,95.28
5.16,4.0,4.0,0.0,3.0,8.03,1.0,0.0,30.0,34791.0,0.0,0.0,1.0,1.0,0.0,62.12
14.08,4.0,1.0,0.0,4.0,21.4,1.0,0.0,8.0,30268.0,0.0,0.0,0.0,0.0,0.0,133.42
9.96,3.0,4.0,3.0,4.0,16.5,1.0,1.0,2.0,30797.0,1.0,1.0,1.0,1.0,1.0,99.38
11.64,3.0,3.0,0.0,2.0,16.1,1.0,1.0,10.0,23598.0,0.0,0.0,0.0,0.0,1.0,141.26
7.47,3.0,3.0,0.0,3.0,8.02,1.0,0.0,20.0,21215.0,1.0,0.0,0.0,0.0,0.0,138.53
10.14,3.0,4.0,0.0,1.0,13.8,1.0,1.0,4.0,34452.0,1.0,0.0,0.0,0.0,1.0,114.72
11.25,3.0,3.0,3.0,2.0,11.0,0.0,0.0,31.0,36509.0,0.0,0.0,0.0,0.0,0.0,110.47
8.88,3.0,5.0,0.0,3.0,16.9,0.0,0.0,34.0,33858.0,1.0,0.0,1.0,1.0,1.0,51.12
3.8,5.0,4.0,0.0,3.0,10.8,1.0,1.0,29.0,30584.0,1.0,1.0,1.0,1.0,1.0,62.74
3.82,2.0,3.0,0.0,3.0,20.7,0.0,1.0,17.0,20319.0,0.0,0.0,0.0,0.0,0.0,121.44
5.13,3.0,3.0,2.0,2.0,13.4,1.0,0.0,22.0,21215.0,1.0,0.0,0.0,0.0,0.0,131.46
1.65,3.0,2.0,2.0,3.0,15.9,0.0,0.0,29.0,23759.0,1.0,0.0,1.0,1.0,1.0,75.76
4.65,3.0,5.0,0.0,4.0,10.6,0.0,1.0,13.0,20319.0,0.0,0.0,0.0,0.0,0.0,62.27
5.85,3.0,2.0,0.0,3.0,9.49,1.0,1.0,6.0,23688.0,1.0,1.0,1.0,1.0,1.0,131.81
4.65,3.0,4.0,1.0,2.0,14.0,1.0,0.0,25.0,20319.0,0.0,0.0,0.0,0.0,0.0,126.24
5.48,4.0,4.0,0.0,4.0,8.91,1.0,0.0,7.0,27694.0,1.0,1.0,1.0,1.0,1.0,111.51
4.8,3.0,0.0,0.0,3.0,17.4,1.0,0.0,36.0,30797.0,1.0,1.0,1.0,1.0,1.0,65.7
4.11,3.0,3.0,2.0,3.0,10.1,1.0,0.0,16.0,23598.0,0.0,0.0,0.0,0.0,1.0,147.35
1.1,2.0,4.0,2.0,2.0,18.6,1.0,1.0,25.0,34791.0,0.0,0.0,1.0,1.0,0.0,144.31
9.44,4.0,2.0,2.0,0.0,8.83,1.0,1.0,29.0,27694.0,1.0,1.0,1.0,1.0,1.0,59.86
5.12,2.0,1.0,0.0,1.0,15.0,1.0,1.0,34.0,23593.0,0.0,0.0,0.0,0.0,0.0,112.19
6.36,4.0,5.0,0.0,2.0,20.0,0.0,0.0,28.0,34452.0,1.0,0.0,0.0,0.0,1.0,51.16
5.1,2.0,1.0,0.0,3.0,6.32,1.0,0.0,5.0,39696.0,0.0,0.0,1.0,1.0,0.0,51.47
10.86,3.0,0.0,0.0,1.0,19.7,1.0,0.0,12.0,27694.0,1.0,1.0,1.0,1.0,1.0,50.79
6.33,3.0,0.0,0.0,1.0,6.6,1.0,1.0,6.0,27694.0,1.0,1.0,1.0,1.0,1.0,126.62
3.81,3.0,4.0,0.0,1.0,10.2,1.0,1.0,17.0,30797.0,1.0,1.0,1.0,1.0,1.0,92.57
3.04,2.0,3.0,1.0,2.0,10.0,1.0,0.0,32.0,33858.0,1.0,0.0,1.0,1.0,1.0,95.74
7.96,2.0,3.0,1.0,0.0,18.5,1.0,1.0,11.0,20319.0,0.0,0.0,0.0,0.0,0.0,140.19
1.68,1.0,4.0,2.0,1.0,13.2,0.0,1.0,33.0,24597.0,1.0,0.0,0.0,0.0,0.0,61.27
2.34,3.0,1.0,1.0,2.0,19.7,1.0,0.0,7.0,23598.0,0.0,0.0,0.0,0.0,1.0,68.97
1.06,2.0,1.0,0.0,1.0,8.16,1.0,1.0,33.0,23112.0,1.0,1.0,1.0,1.0,1.0,138.18
1.54,2.0,1.0,0.0,4.0,12.4,1.0,0.0,28.0,20319.0,0.0,0.0,0.0,0.0,0.0,140.19
7.77,3.0,2.0,2.0,4.0,9.51,0.0,1.0,23.0,21215.0,1.0,0.0,0.0,0.0,0.0,135.8
15.64,4.0,3.0,2.0,3.0,21.9,1.0,0.0,33.0,33858.0,1.0,0.0,1.0,1.0,1.0,103.65
2.52,4.0,2.0,1.0,3.0,19.1,0.0,0.0,10.0,21215.0,1.0,0.0,0.0,0.0,0.0,134.66
2.61,3.0,2.0,0.0,1.0,17.5,1.0,1.0,21.0,33858.0,1.0,0.0,1.0,1.0,1.0,59.83
5.72,4.0,2.0,0.0,3.0,9.57,1.0,0.0,34.0,23112.0,1.0,1.0,1.0,1.0,1.0,107.2
6.78,3.0,3.0,2.0,2.0,13.9,0.0,0.0,23.0,23593.0,0.0,0.0,0.0,0.0,0.0,142.09
11.22,3.0,1.0,1.0,2.0,13.1,0.0,1.0,21.0,34452.0,1.0,0.0,0.0,0.0,1.0,75.44
9.45,3.0,2.0,1.0,0.0,6.8,1.0,0.0,22.0,34791.0,0.0,0.0,1.0,1.0,0.0,55.45
2.12,4.0,0.0,0.0,1.0,14.5,0.0,0.0,26.0,34791.0,0.0,0.0,1.0,1.0,0.0,95.98
15.48,4.0,1.0,0.0,2.0,17.4,0.0,0.0,33.0,23759.0,1.0,0.0,1.0,1.0,1.0,93.11
11.22,3.0,4.0,0.0,1.0,13.1,0.0,1.0,21.0,23593.0,0.0,0.0,0.0,0.0,0.0,137.47
5.4,3.0,2.0,0.0,2.0,14.0,1.0,0.0,26.0,33858.0,1.0,0.0,1.0,1.0,1.0,59.83
4.2,3.0,1.0,0.0,0.0,21.3,1.0,1.0,31.0,33858.0,1.0,0.0,1.0,1.0,1.0,71.51
3.72,2.0,4.0,2.0,3.0,9.85,0.0,1.0,28.0,27694.0,1.0,1.0,1.0,1.0,1.0,126.62
2.66,2.0,2.0,0.0,3.0,20.6,1.0,0.0,29.0,30268.0,0.0,0.0,0.0,0.0,0.0,79.95
5.04,4.0,2.0,0.0,2.0,10.3,1.0,1.0,10.0,30797.0,1.0,1.0,1.0,1.0,1.0,131.62
4.98,3.0,1.0,0.0,2.0,15.4,0.0,0.0,2.0,20319.0,0.0,0.0,0.0,0.0,0.0,108.22
4.53,3.0,3.0,0.0,1.0,6.84,0.0,1.0,35.0,20319.0,0.0,0.0,0.0,0.0,0.0,140.57
14.04,4.0,2.0,0.0,2.0,21.6,0.0,0.0,28.0,39696.0,0.0,0.0,1.0,1.0,0.0,82.61
11.49,3.0,4.0,0.0,2.0,21.2,0.0,1.0,31.0,36509.0,0.0,0.0,0.0,0.0,0.0,97.34
5.04,3.0,2.0,0.0,1.0,10.5,1.0,0.0,34.0,30268.0,0.0,0.0,0.0,0.0,0.0,95.21
2.58,2.0,1.0,0.0,0.0,6.73,0.0,0.0,9.0,38382.0,0.0,0.0,0.0,0.0,0.0,125.1
6.86,2.0,1.0,1.0,1.0,13.2,0.0,0.0,5.0,27694.0,1.0,1.0,1.0,1.0,1.0,82.62
2.01,3.0,3.0,0.0,2.0,7.11,0.0,1.0,16.0,33858.0,1.0,0.0,1.0,1.0,1.0,149.08
2.24,4.0,4.0,4.0,3.0,11.6,0.0,1.0,33.0,21215.0,1.0,0.0,0.0,0.0,0.0,69.63
1.62,2.0,1.0,1.0,0.0,6.38,1.0,1.0,28.0,30268.0,0.0,0.0,0.0,0.0,0.0,100.55
8.88,3.0,2.0,2.0,2.0,16.9,0.0,0.0,34.0,33858.0,1.0,0.0,1.0,1.0,1.0,95.74
5.32,4.0,4.0,0.0,1.0,10.9,1.0,1.0,33.0,39696.0,0.0,0.0,1.0,1.0,0.0,82.61
3.39,3.0,4.0,1.0,4.0,9.16,1.0,1.0,8.0,27694.0,1.0,1.0,1.0,1.0,1.0,69.47
8.49,3.0,0.0,0.0,1.0,11.8,1.0,0.0,18.0,23688.0,1.0,1.0,1.0,1.0,1.0,68.84
8.67,3.0,1.0,0.0,2.0,17.3,0.0,0.0,4.0,23688.0,1.0,1.0,1.0,1.0,1.0,131.81
5.38,2.0,2.0,0.0,1.0,20.5,1.0,0.0,4.0,28206.0,1.0,0.0,0.0,0.0,0.0,90.58
9.72,3.0,0.0,0.0,2.0,15.0,0.0,0.0,32.0,27694.0,1.0,1.0,1.0,1.0,1.0,66.27
2.23,1.0,2.0,0.0,1.0,18.7,0.0,0.0,20.0,22478.0,1.0,0.0,0.0,0.0,0.0,135.46
2.94,2.0,1.0,0.0,4.0,20.7,0.0,0.0,29.0,30268.0,0.0,0.0,0.0,0.0,0.0,59.4
15.12,4.0,2.0,2.0,1.0,18.3,0.0,0.0,29.0,23688.0,1.0,1.0,1.0,1.0,1.0,117.86
5.3,2.0,2.0,1.0,1.0,9.92,0.0,0.0,29.0,27694.0,1.0,1.0,1.0,1.0,1.0,69.47
2.34,3.0,4.0,0.0,4.0,14.2,1.0,0.0,19.0,23112.0,1.0,1.0,1.0,1.0,1.0,97.13
6.24,4.0,3.0,0.0,2.0,21.9,1.0,1.0,31.0,23759.0,1.0,0.0,1.0,1.0,1.0,147.82
4.34,2.0,4.0,2.0,3.0,6.96,1.0,1.0,15.0,23688.0,1.0,1.0,1.0,1.0,1.0,77.32
4.42,2.0,1.0,0.0,0.0,7.48,0.0,0.0,6.0,23688.0,1.0,1.0,1.0,1.0,1.0,129.2
9.88,4.0,5.0,4.0,3.0,13.1,0.0,0.0,29.0,21215.0,1.0,0.0,0.0,0.0,0.0,138.53
5.55,3.0,3.0,2.0,2.0,21.8,1.0,0.0,6.0,23688.0,1.0,1.0,1.0,1.0,1.0,128.2
4.3,2.0,1.0,0.0,2.0,9.67,0.0,0.0,5.0,30797.0,1.0,1.0,1.0,1.0,1.0,98.81
2.37,3.0,4.0,0.0,0.0,6.89,1.0,1.0,24.0,30797.0,1.0,1.0,1.0,1.0,1.0,76.88
15.12,4.0,4.0,0.0,2.0,16.7,1.0,1.0,28.0,33858.0,1.0,0.0,1.0,1.0,1.0,70.32
7.0,2.0,1.0,0.0,4.0,14.6,0.0,1.0,21.0,21215.0,1.0,0.0,0.0,0.0,0.0,80.0
8.73,3.0,5.0,0.0,2.0,9.51,0.0,0.0,31.0,23688.0,1.0,1.0,1.0,1.0,1.0,101.96
7.08,3.0,2.0,0.0,1.0,8.79,1.0,0.0,33.0,20319.0,0.0,0.0,0.0,0.0,0.0,140.19
10.68,3.0,1.0,0.0,4.0,15.6,1.0,0.0,20.0,20319.0,0.0,0.0,0.0,0.0,0.0,140.19
6.9,3.0,1.0,0.0,1.0,21.5,1.0,0.0,29.0,30268.0,0.0,0.0,0.0,0.0,0.0,89.37
11.84,4.0,4.0,1.0,2.0,14.6,1.0,1.0,36.0,20319.0,0.0,0.0,0.0,0.0,0.0,118.36
6.93,3.0,4.0,0.0,2.0,6.88,1.0,0.0,29.0,20319.0,0.0,0.0,0.0,0.0,0.0,117.29
6.64,4.0,4.0,0.0,0.0,13.6,0.0,0.0,23.0,21215.0,1.0,0.0,0.0,0.0,0.0,145.41
8.72,4.0,2.0,0.0,2.0,8.08,0.0,1.0,21.0,23688.0,1.0,1.0,1.0,1.0,1.0,68.97
5.76,3.0,2.0,0.0,1.0,9.26,0.0,0.0,15.0,23598.0,0.0,0.0,0.0,0.0,1.0,83.26
13.84,4.0,2.0,2.0,2.0,16.5,1.0,0.0,17.0,34791.0,0.0,0.0,1.0,1.0,0.0,77.72
4.38,2.0,1.0,1.0,2.0,18.0,1.0,1.0,11.0,23688.0,1.0,1.0,1.0,1.0,1.0,53.82
2.64,4.0,2.0,1.0,2.0,17.9,1.0,1.0,9.0,30584.0,1.0,1.0,1.0,1.0,1.0,115.25
11.9,5.0,4.0,0.0,3.0,16.0,1.0,0.0,16.0,34791.0,0.0,0.0,1.0,1.0,0.0,77.72
6.16,4.0,4.0,0.0,4.0,15.5,1.0,1.0,4.0,23759.0,1.0,0.0,1.0,1.0,1.0,89.9
6.96,4.0,0.0,0.0,2.0,8.24,0.0,0.0,18.0,21215.0,1.0,0.0,0.0,0.0,0.0,135.8
8.7,3.0,5.0,3.0,3.0,7.57,1.0,0.0,15.0,33858.0,1.0,0.0,1.0,1.0,1.0,70.32
10.89,3.0,1.0,0.0,1.0,8.48,1.0,0.0,17.0,30584.0,1.0,1.0,1.0,1.0,1.0,87.07
6.84,4.0,1.0,0.0,3.0,20.9,0.0,1.0,23.0,23598.0,0.0,0.0,0.0,0.0,1.0,147.35
5.7,2.0,2.0,0.0,2.0,9.66,0.0,0.0,34.0,33858.0,1.0,0.0,1.0,1.0,1.0,91.0
2.76,2.0,4.0,0.0,1.0,18.9,1.0,1.0,14.0,23759.0,1.0,0.0,1.0,1.0,1.0,147.82
1.26,2.0,0.0,0.0,1.0,11.6,0.0,0.0,26.0,23688.0,1.0,1.0,1.0,1.0,1.0,137.46
6.76,4.0,2.0,1.0,2.0,13.2,0.0,0.0,13.0,27694.0,1.0,1.0,1.0,1.0,1.0,82.62
1.91,1.0,3.0,1.0,2.0,21.0,1.0,1.0,8.0,28206.0,1.0,0.0,0.0,0.0,0.0,94.69
2.42,2.0,2.0,2.0,4.0,18.9,0.0,0.0,26.0,23688.0,1.0,1.0,1.0,1.0,1.0,112.52
1.65,3.0,5.0,5.0,0.0,10.0,0.0,0.0,10.0,33858.0,1.0,0.0,1.0,1.0,1.0,95.74
10.2,3.0,0.0,0.0,2.0,10.4,0.0,0.0,12.0,23112.0,1.0,1.0,1.0,1.0,1.0,60.87
4.7,2.0,2.0,2.0,3.0,9.06,1.0,0.0,2.0,20319.0,0.0,0.0,0.0,0.0,0.0,81.85
10.32,3.0,4.0,2.0,3.0,14.4,1.0,0.0,19.0,27694.0,1.0,1.0,1.0,1.0,1.0,126.62
1.74,3.0,0.0,0.0,1.0,13.9,1.0,0.0,14.0,33858.0,1.0,0.0,1.0,1.0,1.0,138.81
4.8,2.0,2.0,0.0,2.0,10.7,0.0,0.0,30.0,23593.0,0.0,0.0,0.0,0.0,0.0,112.19
2.46,3.0,2.0,0.0,2.0,9.47,1.0,0.0,10.0,30584.0,1.0,1.0,1.0,1.0,1.0,148.62
11.22,3.0,0.0,0.0,2.0,21.3,0.0,1.0,24.0,39696.0,0.0,0.0,1.0,1.0,0.0,145.52
4.47,3.0,1.0,0.0,1.0,9.9,0.0,0.0,19.0,34791.0,0.0,0.0,1.0,1.0,0.0,144.31
